nightly_fee,cleaning_fee,occupancy_tax_rate,avg_rating,reviews,city,max_capacity
170,70,0.12,0.78,351,North Alexandra,10
149,72,0.09,2.6,357,Bradtkemouth,8
90,75,0.12,2.84,563,Ariellefurt,6
319,48,0.09,4.28,333,Binsburgh,3
310,71,0.10,1.1,360,Rosenbaummouth,8
201,58,0.12,4.22,910,Goldnerport,3
80,65,0.1,0.49,256,Murazikbury,2
116,56,0.08,4.21,404,New Bernitachester,5
133,53,0.11,1.15,34,Samaramouth,5
294,48,0.09,3.49,842,Kubborough,5
66,23,0.08,2.73,760,Roobmouth,8
127,39,0.11,4.29,772,East Mavis,8
80,28,0.11,1.98,933,Spencerburgh,10
91,75,0.12,0.6,645,Port Rick,5
289,53,0.08,2.19,668,North Marty,2
335,80,0.12,3.46,411,New Jalynburgh,9
341,59,0.11,2.55,194,Sincerestad,3
185,54,0.09,1.68,958,Osbaldoborough,9
261,58,0.08,3.09,606,Bodeshire,9
97,32,0.12,2.38,116,East Vitahaven,7
313,55,0.10,4.18,938,East Cristopher,9
331,30,0.10,2.07,150,South Emilia,2
134,72,0.11,1.68,298,North Deangeloton,7
311,28,0.12,3.62,426,Bauchhaven,5
235,67,0.09,0.73,560,O'Haraville,7
72,80,0.10,4.25,208,South Taryn,9
206,72,0.09,4.74,558,Weimannstad,6
139,44,0.1,4.07,617,Quitzonshire,3
191,70,0.10,4.68,120,Goyetteside,7
122,21,0.09,4.37,277,Kristinhaven,2
100,43,0.08,3.38,28,North Jamil,9
263,35,0.08,4.3,869,New Otha,3
147,41,0.08,3.99,354,Yvonnemouth,3
285,31,0.12,2.13,830,Sadiefort,3
225,29,0.10,1.79,264,Ryderland,4
237,25,0.09,4.43,257,New Quincy,3
160,71,0.11,2.39,686,Annabelshire,9
114,24,0.10,4.5,762,West Zoie,5
308,24,0.12,1.93,320,Theochester,7
247,25,0.09,2.3,443,Yazminland,6
147,44,0.08,2.75,207,Emilianochester,5
115,45,0.10,4.47,967,Americomouth,4
299,72,0.08,3.45,348,New Noelview,7
150,79,0.11,2.59,502,New Ariane,4
88,62,0.08,3.9,869,North Melyna,5
294,34,0.08,2.54,917,Celestinoborough,3
155,31,0.12,1.96,683,East Unabury,7
247,58,0.10,3.04,836,East Maverickmouth,5
219,46,0.12,2.19,368,Asiaborough,3
147,44,0.12,4.94,168,Fayshire,10
266,22,0.08,0.51,652,North Darrickfurt,7
256,51,0.10,3.84,461,Asiaburgh,7
334,39,0.12,1.07,272,West Ginotown,7
137,31,0.12,2.41,552,Bergstromview,7
292,34,0.08,3.62,257,North Easterburgh,4
152,34,0.10,1.76,721,East Myah,4
108,64,0.10,1.93,108,West Leoraton,10
287,21,0.12,3.64,124,Shyannemouth,2
259,55,0.09,3.32,956,South Francisco,7
117,36,0.09,3.99,547,East Stefan,4
210,54,0.11,4.02,931,Uptonfort,8
333,55,0.09,1.2,337,North Tressie,2
255,30,0.12,2.29,836,Lake Valerieside,6
219,27,0.10,3.8,531,Annabellmouth,7
141,70,0.08,2.78,452,Lake Odessastad,10
263,29,0.09,4.44,29,North Ethelyn,3
118,40,0.08,3.24,330,East Marlenborough,9
280,80,0.09,2.32,443,Javierfort,3
165,78,0.10,0.27,223,Lake Molly,9
359,30,0.08,2.77,351,New Jacinthe,7
155,54,0.09,4.25,226,Wizaborough,4
187,25,0.10,1.8,869,Port Chesley,8
151,80,0.11,0.37,684,West Carmelaborough,8
135,61,0.1,4.96,820,Lake Syble,7
212,76,0.10,1.34,631,Lake Leilani,6
354,71,0.11,4.98,725,East Everardobury,3
286,66,0.12,2.87,673,Lake Madelynn,10
109,80,0.09,3.86,40,West Izaiahmouth,3
162,26,0.10,2.48,588,North Darrellstad,2
316,55,0.11,4.09,826,Leonieland,4
199,66,0.11,1.14,341,Heloiseborough,5
111,75,0.08,0.29,934,Marjoriechester,9
321,25,0.12,2.49,3,North Dayana,2
213,72,0.10,0.06,211,West Gay,6
291,66,0.11,3.26,163,Elsiestad,2
350,49,0.11,4.66,84,Lake Cecelia,8
240,32,0.11,0.74,277,Mertzborough,9
67,42,0.10,4.56,612,Crooksmouth,8
229,37,0.12,0.78,985,Maryamside,10
122,37,0.09,2.63,443,New Hans,2
273,28,0.12,1.72,74,Towneburgh,9
316,21,0.08,3.25,279,New Emie,2
80,37,0.08,4.94,383,North Hector,4
118,30,0.09,1.5,66,Deonview,4
97,63,0.10,2.68,380,New Vernon,7
208,43,0.12,1.19,646,New Ashtynland,2
305,38,0.09,4.62,762,Leonemouth,5
330,31,0.11,2.65,689,Lake Fleta,7
305,35,0.10,0.58,743,Port Rachel,8
242,32,0.08,2.59,678,Lake Salvatoretown,2
287,31,0.12,3.4,725,South Israelport,7
206,67,0.09,3.32,320,Kleinmouth,2
356,40,0.09,2.69,257,Billymouth,6
239,64,0.08,1.74,446,Port Olinshire,7
102,51,0.12,1.27,553,North Jovaniville,7
131,69,0.10,4.97,835,Port Tristinfurt,5
115,46,0.11,4.1,223,Sengerchester,2
290,29,0.09,3.03,544,North Leliaberg,6
95,64,0.12,0.41,719,West Julietbury,9
214,63,0.10,1.39,169,Cruickshankshire,2
293,45,0.11,3.12,183,Bellside,10
306,50,0.10,4.87,145,MacGyverport,7
246,56,0.09,1.52,564,Cronahaven,7
123,36,0.11,4.87,303,Davisport,9
283,68,0.11,2.1,442,New Tre,9
140,47,0.10,3.53,124,Pacochamouth,3
61,51,0.12,4.73,91,Lake Cristina,8
190,26,0.09,4.91,482,West Marcelfort,7
272,61,0.12,3.4,115,East Yolandaburgh,9
282,53,0.10,2.34,562,Port Lisandro,8
295,60,0.11,2.26,338,Bogisichmouth,6
175,79,0.12,4.29,751,New Elliott,7
140,36,0.10,0.86,485,West Kevontown,2
191,55,0.08,3.87,725,Juniorbury,6
173,64,0.11,3.74,811,South Genovevafort,4
182,80,0.11,3.57,902,West Florianland,5
78,39,0.08,4.88,987,Prohaskaview,4
149,21,0.08,0.45,903,Lake Lilyville,9
140,58,0.1,3.66,688,West Sethborough,2
205,70,0.08,2.35,193,South Valentine,8
353,66,0.11,1.55,820,Dejuanport,7
295,41,0.11,4.44,886,Botsfordburgh,7
302,40,0.11,1.46,686,East Edison,8
97,34,0.1,2.69,865,New Randy,5
62,72,0.12,0.68,52,Lamarmouth,7
281,43,0.08,2.08,622,Carlieville,9
138,47,0.08,2.14,506,Torreymouth,9
251,57,0.09,1.77,679,South Heberberg,2
301,21,0.08,4.13,395,McClurefort,7
298,48,0.08,2.85,336,Port Emieview,3
135,38,0.11,1.81,302,Bartfurt,10
190,32,0.10,2.79,855,Hauckmouth,9
243,75,0.10,0.5,192,Lake Axelstad,5
283,62,0.09,3.25,351,South Joan,7
249,33,0.10,0.06,768,East Cesar,6
153,56,0.10,3.77,414,Ritaport,9
301,30,0.11,2.03,93,Stoltenbergshire,7
349,55,0.12,0.63,53,Lake Christelle,2
172,24,0.10,4.86,512,East Darylport,3
306,67,0.12,1.92,680,Lake Shyanne,9
181,23,0.10,1.43,567,Port Melody,3
255,32,0.08,4.27,322,Lake Nonastad,3
153,46,0.08,4.01,170,South Myrtice,6
68,76,0.11,4.21,82,Alphonsomouth,5
138,60,0.10,1.32,178,Port Jefferey,4
108,62,0.11,0.48,216,Douglasburgh,8
225,24,0.09,2.54,679,Robertaland,2
146,36,0.08,3.64,549,Luisashire,3
116,64,0.12,2.7,254,West Baby,8
296,29,0.08,1.57,780,North Stephania,6
145,66,0.12,4.3,9,West Odamouth,7
126,48,0.09,4.76,382,Noemyburgh,4
314,50,0.11,1.1,301,East Myah,5
268,32,0.11,2.05,833,Port Kendrafurt,9
247,69,0.11,3.51,984,West Raystad,6
215,43,0.1,0.76,664,Adamsville,2
136,79,0.12,1.86,198,Penelopestad,2
288,36,0.10,3.72,67,Raheemstad,2
317,44,0.11,3.92,88,Lake Lauraberg,7
201,57,0.08,4.86,440,Uptonport,10
243,38,0.08,3.53,66,South Luluhaven,4
268,38,0.11,0.52,606,New Jeffereychester,4
217,73,0.12,4.64,190,North Deangelo,8
302,75,0.11,3.13,8,West Edmondview,9
148,43,0.11,1.27,6,Russelburgh,9
73,67,0.12,4.26,736,South Diegoside,2
100,73,0.12,1.14,427,Treutelport,6
285,41,0.09,0.19,60,Bradtkemouth,6
120,36,0.10,4.27,32,Oletashire,3
80,55,0.10,2.63,125,Meaghanburgh,2
186,67,0.10,2.65,728,Paucekchester,4
270,67,0.09,2.82,206,North Julianaborough,3
290,43,0.12,1.64,490,Zoraland,6
271,59,0.08,3.23,536,Rozellaville,10
330,49,0.11,0.38,886,Clarabellehaven,7
264,64,0.08,1.32,864,McDermottview,2
200,22,0.08,4.56,852,West Keshawnberg,6
250,46,0.10,1.23,934,Luettgenfort,7
276,38,0.11,4.66,320,Eichmannberg,6
245,68,0.09,2.61,114,Melodyberg,8
251,29,0.08,2.61,136,Nicolasville,3
342,25,0.10,3.46,187,East Kailyn,3
61,35,0.12,2.11,248,New Ray,2
272,77,0.10,1.79,197,South Karellestad,6
332,47,0.09,2.37,722,South Cathrynburgh,9
354,59,0.08,2.66,735,Tavaresmouth,10
146,55,0.12,1.86,489,New Rogelio,3
71,73,0.09,0.36,785,Kentonfurt,3
66,47,0.12,0.74,714,Turnerville,10
111,37,0.09,1.8,721,Kaylinside,4
309,45,0.10,1.02,66,Port Hopeport,4
80,50,0.08,0.36,995,Herbertview,2
200,36,0.09,1.86,400,Alyssonburgh,5
301,34,0.11,2.52,835,Port Roselyn,8
176,75,0.08,1.98,91,North Elnorashire,4
257,77,0.09,1.7,80,New Lucie,2
84,62,0.11,2.4,778,Katrinehaven,9
262,50,0.10,3.22,832,Elsehaven,10
220,55,0.11,1.73,222,Larsonchester,9
316,79,0.09,3.95,757,Lake Jennyfer,4
223,66,0.11,0.35,928,Quitzonburgh,2
320,57,0.10,3.34,655,Lake Ashleyfort,3
219,30,0.12,2.44,10,Hartmannfurt,9
64,36,0.10,3.13,652,South Jadynville,7
281,44,0.12,2.19,694,Wunschville,4
188,64,0.08,4.73,292,Kennedyberg,3
196,68,0.12,3.34,168,Lake Chayafort,2
77,42,0.12,1.74,838,East Kaceyville,7
120,47,0.11,3.25,771,Cliftonfurt,5
353,53,0.11,3.86,748,Tillmanstad,7
220,48,0.10,4.03,413,East Allen,9
153,66,0.09,3.39,436,Bernhardview,3
91,73,0.11,3.86,523,Greenholtview,5
213,57,0.11,1.55,279,Port Lela,3
172,45,0.10,2.04,579,West Cecelia,8
316,31,0.12,2.38,215,North Saige,4
264,34,0.12,3.28,167,West Liliane,6
64,25,0.08,1.44,523,Port Kearamouth,9
311,51,0.08,1.77,911,West Sandraland,2
234,59,0.1,4.19,960,Port Orvalville,6
100,54,0.12,2.79,289,Port Tomas,5
197,44,0.08,1.52,732,Botsfordburgh,7
236,27,0.09,1.1,261,Balistrerifort,5
170,61,0.09,1.68,157,Sanfordville,8
118,51,0.08,3.15,16,Lake Carmen,9
230,27,0.09,2.56,793,Port Avis,7
144,72,0.10,3.16,355,Gerdaborough,10
276,69,0.11,0.05,134,Carrollhaven,8
165,52,0.09,1.42,378,North Claudinestad,9
89,46,0.08,2.57,130,Lake Abigayle,10
116,33,0.08,0.81,884,Williamsonview,3
192,70,0.13,0.74,841,Lake Burdetteton,10
95,80,0.08,3.19,697,East Brainbury,9
163,23,0.12,3.44,262,Port Clint,2
275,33,0.09,2.92,183,Cynthiachester,10
334,60,0.12,0.7,861,Framishire,5
309,67,0.11,4.74,979,North Yvettestad,10
203,60,0.1,1.37,28,Alvertaland,5
360,25,0.08,0.55,906,New Garry,9
345,43,0.08,2.76,4,Odellmouth,7
82,51,0.11,2.98,282,Port Sean,7
301,55,0.10,3.31,74,Khalidberg,10
279,58,0.08,0.74,20,Port Lloydview,3
102,33,0.09,2.14,772,Lake Kittybury,6
269,43,0.09,3.82,293,O'Keefeport,8
356,71,0.1,2.21,131,Jerdefort,5
342,68,0.10,0.48,254,Weberton,10
311,68,0.12,1.67,71,West Ambrose,8
331,76,0.11,1.77,530,Janechester,4
107,62,0.11,0.04,123,Port Efren,8
253,27,0.08,0.36,656,Port Carlotta,2
324,75,0.09,4.84,101,Coltonchester,4
251,29,0.10,3.73,899,Port Eltonview,8
248,70,0.10,4.36,674,New Carmellaborough,5
178,73,0.11,4.94,472,Hueltown,5
337,73,0.09,2.35,342,Altenwerthchester,4
255,26,0.12,1.35,323,Macktown,5
182,73,0.12,4.71,133,New Blakechester,8
103,30,0.10,0.23,362,South Elissatown,7
351,64,0.10,3.71,415,Lake Reneefurt,9
96,39,0.12,2.13,910,South Aliviaville,2
359,47,0.12,2,106,Mooreport,3
211,70,0.09,3.88,864,Langoshborough,2
235,27,0.11,3.05,209,Andersonfurt,10
85,23,0.08,4.49,690,Lockmanport,9
351,72,0.11,0.92,2,South Rod,7
253,39,0.09,0.32,829,Samsonshire,2
146,72,0.09,3.68,487,Lefflerport,9
292,55,0.10,2.48,209,New Johanfurt,3
290,46,0.08,4.7,282,Port Elinorborough,2
352,33,0.11,1.37,357,Port Susiechester,9
177,74,0.12,4.35,411,Adelestad,2
110,23,0.09,1.36,131,Reichelville,7
62,56,0.11,1.04,508,East Derektown,5
322,46,0.11,1.18,609,Christychester,2
233,47,0.10,3.11,31,Georgianaborough,6
234,21,0.11,1.11,467,New Tevin,2
226,75,0.12,0.02,577,Lake Daryltown,5
64,71,0.12,4.2,946,Reynoldshaven,2
247,52,0.09,3.85,110,Trantowmouth,3
201,25,0.11,4.24,589,Schillerview,3
148,46,0.12,4.7,746,Beckerville,4
200,22,0.11,0.93,420,West Ellischester,5
314,47,0.11,1.97,806,Corkeryfurt,4
199,24,0.09,4.94,806,Roobstad,7
281,24,0.12,1.25,124,Goldnershire,6
90,78,0.09,1.35,916,Clayfurt,6
80,33,0.11,2.52,84,Franeckiberg,8
209,45,0.10,1.7,41,North Mauriceland,7
175,26,0.09,4.28,763,Cleohaven,7
333,27,0.12,0.85,81,Lake Generalchester,8
210,42,0.10,4.38,582,West Sterlingtown,4
191,42,0.11,2.47,273,Morissettebury,5
166,50,0.12,2.83,236,New Jaketon,4
101,71,0.11,1.09,368,East Derick,2
171,29,0.09,1.4,76,Port Mabelleton,10
211,59,0.12,2.78,78,East Jabari,8
152,61,0.11,0.56,229,Roobside,7
220,24,0.09,1.2,506,Sharonshire,2
158,24,0.11,4.98,470,Kihnmouth,6
220,39,0.08,4.64,661,South Darrickshire,2
100,78,0.11,4.43,259,South Salvador,9
213,47,0.08,2.99,328,Wernerville,3
138,63,0.12,2.57,134,North Mike,6
280,27,0.10,1.09,955,Oberbrunnerbury,10
200,42,0.09,1.37,727,Wolffberg,10
334,57,0.09,3.23,824,Bergnaumbury,9
133,80,0.09,2.13,105,Nicoletown,2
315,35,0.11,3.6,425,Port Brittanytown,5
121,56,0.09,3.06,690,Reinholdchester,8
188,68,0.12,1.02,723,East Leanne,10
293,47,0.09,2.62,916,Loweland,4
312,57,0.10,2.54,301,West Abbeyport,6
265,24,0.10,3.03,760,Ortizhaven,5
349,80,0.12,4.43,194,Port Aaliyah,9
316,57,0.10,0.62,710,New Geohaven,10
61,44,0.09,1.72,649,East Bobby,8
215,63,0.09,4.76,760,Yazminville,7
113,62,0.09,0.49,386,North Kevonburgh,2
221,60,0.1,1.42,998,Verniceberg,9
147,71,0.08,2.82,909,Doyleton,8
238,59,0.10,2.36,87,Lake Fletcher,6
93,77,0.10,4.62,710,Lake Ross,9
341,76,0.11,3.09,542,West Dan,7
97,32,0.10,0.03,998,Franeckiville,6
69,29,0.08,4.43,5,Port Gabriellashire,8
146,43,0.10,0.87,240,Schadenville,9
150,24,0.10,0.91,762,New Alfonzo,7
244,46,0.12,0.62,649,Hamillstad,8
190,58,0.08,3.14,994,Rodolfoport,5
170,67,0.12,3.11,843,West Cristobalmouth,3
299,41,0.11,4.04,898,East Moises,5
297,54,0.12,2.37,268,East Lyricshire,2
340,60,0.1,2.56,671,New Lizzieberg,4
337,51,0.08,2.82,932,New Amelieside,3
229,46,0.11,2.22,261,East Tretown,7
319,30,0.08,3.85,637,North Audra,7
316,67,0.09,2.3,932,Cristside,3
238,74,0.09,0.06,526,Cartwrightstad,3
161,23,0.11,2.44,821,West Trudiemouth,4
181,71,0.10,0.6,769,Krishaven,5
262,70,0.08,0.26,641,Hodkiewiczchester,5
322,52,0.12,4.94,728,Amaliaborough,5
353,77,0.08,2.81,343,Lake Jadeland,5
135,26,0.12,2.62,650,Millerhaven,7
327,53,0.09,0.69,829,New Isabelleton,4
150,52,0.12,0.57,417,New Bernard,2
65,63,0.08,1.5,789,Holdenmouth,10
112,24,0.10,3.24,656,New Annabellmouth,3
260,54,0.12,1.63,283,New Keaganfort,6
210,31,0.09,3.81,337,Beattybury,10
154,75,0.12,1.54,436,South Nellaton,9
211,67,0.10,0.02,498,West Kelvin,2
252,42,0.09,2,825,West Karson,2
257,51,0.09,4.11,159,Shanahanmouth,9
66,59,0.09,3.83,99,South Elta,10
286,38,0.08,0.78,937,Port Mozelleborough,3
147,26,0.12,0.54,548,New Minnie,7
170,39,0.09,3.01,717,South Madalineshire,5
277,41,0.08,0.71,469,South Maribel,9
283,61,0.09,0.56,413,Leannstad,2
165,60,0.11,2.5,512,North Altheaburgh,10
147,32,0.09,2.88,825,Guadalupeborough,6
246,51,0.1,0.51,305,South Allisonhaven,2
208,38,0.12,4.42,783,Grahamton,2
258,46,0.12,3.43,105,Lucasborough,6
144,71,0.10,1.07,261,Karaborough,8
80,39,0.11,1.7,670,Johnsonbury,10
228,44,0.08,2.1,709,North Shaneshire,10
128,39,0.10,4.11,905,Orenhaven,10
347,50,0.12,3.77,219,Lindseyberg,9
173,31,0.10,2.59,181,East Hiramland,6
164,61,0.12,3.62,55,Towneburgh,4
90,75,0.08,3.95,142,Brownbury,2
230,61,0.12,3.85,836,Hagenesville,6
333,36,0.10,1.85,526,South Granvilleland,5
322,34,0.12,2.98,717,Strosinside,4
125,42,0.12,2.34,73,East Demario,7
82,25,0.10,0.34,690,Lake Alvena,7
77,33,0.08,0.64,863,Kubside,2
195,67,0.1,0.06,239,Taniafurt,2
129,45,0.10,4.51,498,Doyleburgh,7
165,56,0.09,4.55,179,New Justustown,3
215,52,0.09,0.66,675,Robertsport,2
140,65,0.12,3.32,960,New Sadye,2
271,45,0.12,0.15,965,Aliviaville,3
323,25,0.08,1.74,58,North Sandra,8
299,26,0.10,0.54,698,Runolfsdottirport,8
211,80,0.09,4.93,179,Santosville,6
186,26,0.11,4.96,403,West Alvera,6
277,31,0.09,2.09,58,New Emmanuel,2
339,66,0.10,4.11,117,Ciaratown,6
248,57,0.12,3,59,Hannamouth,10
331,56,0.11,0.23,26,Wilmerstad,2
126,54,0.12,2.11,108,West Connieville,10
322,46,0.11,1.73,2,South Tyshawn,6
177,78,0.11,0.29,56,Lake Jazlyn,4
98,60,0.09,4.13,25,North Brionnaberg,5
154,80,0.08,4.58,995,Wernerhaven,8
302,53,0.09,4.63,70,West Carmenbury,6
217,67,0.08,0.07,179,Dorthafort,7
87,49,0.09,2.44,495,South Macey,4
98,28,0.08,0.93,967,West Zoila,9
61,41,0.13,2.01,315,Port Mortimer,8
331,42,0.09,4.98,679,Gleichnerland,3
322,36,0.08,1.84,86,Manteton,3
267,30,0.11,4.15,395,Mullerberg,6
146,70,0.10,3.42,778,DuBuqueburgh,8
348,58,0.09,1.66,592,South Carlos,8
277,66,0.12,2.01,500,Port Micahfort,8
302,69,0.08,3.57,606,Adeliaburgh,8
223,65,0.11,2.24,769,Gustchester,3
277,77,0.10,2.28,95,Effertzstad,8
81,38,0.11,4.08,966,Breanaport,6
111,61,0.08,2.21,879,Bechtelarview,2
154,35,0.08,3.88,669,New Jarrell,4
337,43,0.10,0.05,66,Perryside,5
159,67,0.10,1.9,900,Lake Wardfurt,5
300,28,0.11,0.5,844,South Bernardo,2
210,56,0.12,3.72,656,North Travisburgh,5
85,60,0.12,1.97,129,O'Connellborough,10
111,55,0.09,0.47,617,Spinkaborough,4
263,49,0.09,3.82,980,North Arlofurt,9
233,24,0.11,1.46,467,Meaganhaven,10
177,56,0.09,1.64,293,Jacobsmouth,2
305,80,0.12,0.91,974,North Alexa,10
247,47,0.10,2.42,355,Jovanbury,6
264,24,0.08,0.06,219,Lavinaton,4
120,51,0.12,3.33,248,Wittingburgh,3
125,51,0.12,1.67,759,Wellingtontown,4
300,59,0.09,2.36,419,South Wilfredo,3
360,50,0.12,0.54,49,Kertzmannburgh,10
315,72,0.10,1.88,706,South Lewview,7
111,77,0.10,1.79,565,East Zander,3
81,23,0.11,4.04,312,Lake Joeyshire,10
268,67,0.09,4.4,338,Kubbury,9
325,78,0.09,2.94,58,Lake Asia,9
143,60,0.09,3.98,411,South Ashleytown,4
338,24,0.11,1.68,815,New Anastasialand,4
147,21,0.11,0.93,501,New Mckenna,10
192,36,0.11,2.6,547,Damarisburgh,9
154,54,0.08,3.01,259,South Clinton,3
161,27,0.11,1.07,630,East Ellsworth,9
226,31,0.12,1.88,646,Schneiderside,6
210,38,0.08,0.2,285,Lake Graham,3
63,59,0.11,0.51,261,North Brycen,6
211,65,0.10,0.09,491,Connellymouth,4
236,79,0.10,0.22,992,Lake Zaria,3
159,53,0.09,1.61,499,Jerdeview,3
331,65,0.08,3.52,694,East Dinoberg,6
128,35,0.11,0.49,163,Kuphalstad,10
198,61,0.08,4.02,39,Hodkiewiczshire,5
196,25,0.10,0.63,768,Krystalfurt,8
267,55,0.10,3.13,379,Eusebiostad,2
104,22,0.12,3.74,84,Erwinburgh,8
174,44,0.11,4.79,841,Franeckiville,10
230,37,0.12,4.63,801,Roobhaven,5
247,48,0.10,1.6,380,West Hassie,2
152,29,0.11,1.05,864,North Maximemouth,9
172,68,0.11,4.18,784,Wisokyfurt,5
270,34,0.12,1.38,649,Parisfurt,8
264,64,0.11,0.26,209,Port Velvabury,7
311,29,0.09,3.63,496,North Careyton,6
221,73,0.09,2.21,376,Port Doug,2
324,80,0.08,1.36,560,Kuhnmouth,2
272,45,0.12,2.34,66,Port Lorenzo,6
132,26,0.12,0.07,253,Lenoreville,6
290,76,0.12,4.37,741,Bogisichberg,10
87,35,0.09,0.96,99,Palmabury,4
108,41,0.12,4.81,575,Port Roslyn,9
116,49,0.10,3.65,196,Port Reneeton,2
83,69,0.08,3.56,391,Kilbackmouth,5
105,79,0.11,1.31,788,East Fermin,5
156,44,0.12,3.52,946,Herzoghaven,7
285,63,0.09,4.95,192,Millerport,5
357,64,0.09,2.9,607,North Nickside,4
357,27,0.09,3.55,35,West Cydney,9
213,51,0.11,4.09,169,Huelston,7
132,75,0.09,3.04,510,Borertown,5
308,39,0.09,2.22,40,Christellechester,9
347,80,0.08,0.36,303,Karsonmouth,8
283,33,0.13,2.12,310,North Tevinville,2
207,66,0.12,0.54,598,Douglasstad,7
114,38,0.09,3.17,362,Hellerville,10
72,42,0.11,2.62,931,Rickmouth,3
218,41,0.09,3.45,136,Myrlview,4
178,69,0.08,3.41,100,Hattiefurt,10
179,45,0.09,2.22,274,New Omerburgh,8
212,47,0.08,0.22,576,South Jacques,6
339,54,0.08,2.18,980,Dareborough,5
335,74,0.08,0.33,204,New Omerberg,8
123,24,0.11,3.49,265,New Harrison,5
186,21,0.10,4.09,370,Adelineport,7
62,40,0.09,4.41,604,Johnsland,3
89,39,0.12,1.62,644,Murphybury,3
357,74,0.12,1.42,492,Purdyside,9
357,29,0.12,3.42,800,Kubland,9
208,75,0.08,3.71,79,Runteberg,9
186,67,0.12,0.33,102,New Jazmynshire,3
277,38,0.12,0.46,794,West Ewald,9
310,48,0.08,2.48,466,West Toreyton,3
153,53,0.10,3.93,438,New Reneborough,5
238,66,0.12,1.34,161,West Alysa,9
80,37,0.12,2.92,645,Okunevafurt,5
212,55,0.08,4.51,704,Aprilmouth,10
345,27,0.11,2.75,597,Mathewborough,9
337,28,0.09,3.94,448,Brakusside,10
311,61,0.09,1.6,460,Malikashire,2
255,62,0.09,1.16,119,Angusberg,3
246,68,0.12,4.63,389,Gorczanymouth,9
125,64,0.12,1.33,487,Alizastad,6
295,65,0.11,3.06,486,Americahaven,5
316,58,0.11,3.85,936,East Zaria,4
321,23,0.11,1.25,725,Sydneychester,5
98,67,0.09,2.22,964,Bethelhaven,6
224,54,0.08,2.96,103,Bednarville,3
224,55,0.10,3.07,668,Carmellafort,6
128,29,0.09,3.55,427,North Duncanland,9
135,50,0.10,4.15,631,Shieldston,7
113,60,0.10,2.01,42,Bradleybury,9
316,38,0.11,0.14,969,Connellyfurt,8
349,56,0.11,2.19,60,Aubreymouth,10
167,60,0.08,1.62,419,East Hilbertberg,7
163,69,0.09,3.39,343,Dejuantown,5
289,46,0.11,0.79,761,South Catalina,9
171,37,0.12,3.51,473,North Daphneberg,2
248,63,0.11,4.53,679,Trantowtown,2
347,22,0.11,2.16,946,North Therese,9
292,67,0.08,3.85,786,West Ashleigh,5
99,25,0.08,3.09,357,Port Flaviestad,6
268,48,0.12,3.91,484,West Glenview,6
61,34,0.13,4.94,269,West Elyse,2
83,79,0.12,3.71,946,Abbottstad,5
168,39,0.12,2.5,407,Collinsville,6
346,78,0.12,0.32,477,Port Pattown,8
298,48,0.09,3.2,632,Ryleighborough,6
326,72,0.11,2.48,841,New Virgieborough,3
341,39,0.11,1.96,247,Lake Jerelland,8
172,54,0.11,1.9,575,Lake Skyla,5
337,73,0.08,3.14,557,Bradlyville,6
90,70,0.08,1.29,185,Blickmouth,5
124,21,0.12,0.67,328,Heaneyton,8
281,40,0.12,1.61,895,Claudemouth,4
148,63,0.08,4.08,394,Port Sherwood,8
141,41,0.09,3.89,876,Kilbackside,10
185,21,0.12,3.15,620,Abdielmouth,2
144,55,0.09,4.2,119,Lake Ronny,8
183,54,0.10,1.37,246,Belltown,10
192,46,0.13,1.62,998,Lake Oceane,9
61,45,0.12,4.15,261,South Alecland,8
99,56,0.12,0.05,451,Lake Lisandro,9
269,77,0.09,4.67,29,Dangeloview,5
334,69,0.12,1.35,822,New Xander,8
145,38,0.08,2.95,424,Rosenbaumside,2
222,49,0.10,2.48,338,Danteton,2
158,30,0.11,2.93,987,Grimesborough,2
350,65,0.11,2.44,420,New Elinor,6
162,21,0.10,2.07,467,Hintzborough,6
346,25,0.09,1.18,812,Lake Julien,7
252,23,0.10,4.5,104,East Jennie,9
295,69,0.12,3.75,439,Auroreborough,2
155,75,0.10,0.36,129,Malloryton,7
108,37,0.11,1.04,574,Hodkiewiczchester,4
84,43,0.11,4.22,10,West Raheemhaven,2
282,42,0.09,0.83,73,Gradyfurt,9
153,32,0.08,3.09,23,VonRuedenbury,9
115,40,0.10,2.29,747,Adonischester,10
165,42,0.08,2.12,186,West Reid,6
356,58,0.11,0.93,696,Port Stuartstad,7
265,77,0.10,4.63,714,North Candice,2
105,67,0.08,2.47,464,Rodriguezmouth,7
67,53,0.11,1.85,618,West Graciela,8
219,38,0.08,3.62,407,Jamieville,4
178,72,0.11,1.29,174,Lake Cordeliatown,3
230,51,0.08,3.53,950,Lake Judd,5
334,67,0.12,2.09,650,New Yasmeen,5
228,24,0.12,1.87,565,Heaneyside,8
349,73,0.10,0.94,82,Carterbury,4
175,37,0.08,2.43,641,Charlottechester,7
202,58,0.09,2.64,93,Rosinabury,3
319,71,0.09,0.42,678,Metzland,6
338,24,0.08,3.38,148,Maybellfurt,5
72,40,0.11,3.92,391,Harbermouth,8
103,58,0.09,1.31,546,North Karson,5
208,74,0.09,4.32,598,Cierraton,4
326,31,0.09,0.42,200,Lake Austenfort,4
245,80,0.10,3.4,84,Carolhaven,5
337,50,0.12,0.68,135,New Genesis,7
334,36,0.08,1.35,102,East Talia,3
253,21,0.10,4.76,941,Bettyeport,3
230,76,0.12,2.39,941,Skilesmouth,7
